PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40675414,From Classroom to City Hall: Student Pharmacists Advocate for Public Health at City Council Meetings.,2025,"Mohammed A Islam, Suhui Yang, Tiffany Nguyen","School of Pharmacy, American University of Health Sciences, Signal Hill, CA 90755, USA. Electronic address: tdnguyen@auhs.edu.; School of Pharmacy, American University of Health Sciences, Signal Hill, CA. Electronic address: syang@auhs.edu.; School of Pharmacy, American University of Health Sciences, Signal Hill, CA. Electronic address: mislam@auhs.edu.",mislam@auhs.edu.
40675169,"Extended nirmatrelvir-ritonavir treatment durations for immunocompromised patients with COVID-19 (EPIC-IC): a placebo-controlled, randomised, double-blind, phase 2 trial.",2025,"Edward Weinstein, Annie Gardner, Mary Almas, Mary Lynn Baniecki, Shunjie Guan, Elena Tudone, Simone Antonucci, Wayne Wisemandle, Steven G Terra, James Rusnak","Pfizer, Cambridge, MA, USA.; Antivirals, Global Product Development, Pfizer, New York, NY, USA. Electronic address: edward.weinstein@pfizer.com.; Pfizer, Tampa, FL, USA.; Pfizer, Lake Forest, IL, USA.; Pfizer, Milan, Italy.; Antivirals, Global Product Development, Pfizer, New York, NY, USA.",edward.weinstein@pfizer.com.
40675167,"Efficacy and safety of obeldesivir in low-risk, non-hospitalised patients with COVID-19 (OAKTREE): a phase 3, randomised, double-blind, placebo-controlled study.",2025,"Gerard Acloque, Amos Lichtman, Afsaneh Mozaffarian, Yiannis Koullias, Robert H Hyland, Joe Llewellyn, Anu Osinusi, Frank Duff, Rita Humeniuk, Luzelena Caro, Santosh Davies, Lauren Rodriguez, Charlotte Hedskog, Shuguang Chen, Kim Etchevers, Priyanka Nadig, Anita Kohli","Universal Medical and Research Center, LLC, Coral Gables, FL, USA.; Gilead Sciences, Foster City, CA, USA.; Arizona Clinical Trials, Chandler, AZ, USA; Arizona Liver Health, Tucson, AZ, USA.",
40675111,Purification and functional characterization of gag-spike virus-like particles: Process optimization for efficient vaccine production.,2025,"Anahita Bakhshizadeh Gashti, Mehul Patel, Parminder Singh Chahal, Rénald Gilbert, Audrey Morasse, Nasha Nassoury, Krishnaraj Tiwari","Bioprocess Engineering Department, Human Health Therapeutics Research Centre, National Research Council Canada, Montréal, QC, Canada. Electronic address: Anahita.Bakhshizadeh@cnrc-nrc.gc.ca.; Bioprocess Engineering Department, Human Health Therapeutics Research Centre, National Research Council Canada, Montréal, QC, Canada.",Anahita.Bakhshizadeh@cnrc-nrc.gc.ca.
40675109,Influenza vaccine effectiveness against absenteeism among healthcare personnel during the 2022-2023 season in Greece.,2025,Dimitrios Hatzigeorgiou,"Medical Directorate, Hellenic National Defence General Staff, Athens, Greece.",
40675005,Age differences in immunity to human seasonal coronaviruses and the immunogenicity of ChAdOx1 nCoV-19 (AZD1222).,2025,"Stanley Cheruiyot, John N Gitonga, Daisy Mugo, Henry K Karanja, George M Warimwe, Mainga M Hamaluba","KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya.; KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya; Centre for Tropical Medicine and Global Health, University of Oxford, UK.",
40674959,Drivers of COVID-19 in U.S. counties: A wave-level analysis.,2025,Miguel Henry,"OnPoint Analytics, Emeryville, CA, USA. Electronic address: mhenry@onpointanalytics.com.",mhenry@onpointanalytics.com.
40674918,Differential severity of SARS-CoV-2 variant infections in children and adults with COVID-19.,2025,Mark D Gonzalez,"Children's Healthcare of Atlanta, Atlanta, GA 30322, USA.",
40674873,Exploring the critical risk factors in COVID-19 vaccination clinics aimed uncertainty: Insight from Pakistan.,2025,"Rashed Nawaz, Shaoqing Gong","School of Public Health and Health Nutrition, Luohe Medical College, No.148, Daxue Road, Yuanhui District, Luohe, Henan Province 46200, China. Electronic address: gongshaoqingmd@163.com.; School of Public Health and Health Nutrition, Luohe Medical College, No.148, Daxue Road, Yuanhui District, Luohe, Henan Province 46200, China. Electronic address: rashednawazpk@gmail.com.",rashednawazpk@gmail.com.
40674354,Targeting G-Quadruplex with Bis-thiourea Compounds Inhibits SARS-CoV-2 Replication.,2025,"Shogo Sasaki, Rena Nohara, Hiroyuki Endo, Norito Takeuchi, Taiji Oyama, Naoya Iwano, Kaori Tsukakoshi, Kazunori Ikebukuro, Kazuo Nagasawa, Masayuki Tera","Department of Biotechnology and Life Science, Tokyo University of Agriculture and Technology, 2-24-16 Naka-cho, Koganei , Tokyo184-8588, Japan.",
40674082,Risk Factors for COVID-19-Related Hospitalization and Death in Patients With Cancer: The National Cancer Institute COVID-19 in Cancer Patients Study (NCCAPS).,2025,Mel D Bowman,"The Emmes Company LLC, Rockville, Maryland.",
40674059,COVID-19 Vaccine Booster Uptake and Effectiveness Among US Adults With Cancer.,2025,"Jacek Skarbinski, Eric P Elkin, Crystal A Hsiao, Joshua R Nugent, Lawrence H Kushi","Division of Research, Kaiser Permanente Northern California, Pleasanton.",
40673708,Immunogenicity of monovalent and multivalent subunit vaccines against SARS-CoV-2 variants in mice with divergent vaccination history.,2025,"Rui Wang, Yuan Lyu, Meng Chen, Lili Sun, Shaozheng Zhou, Yudi Cui, Juan Ma, Desheng Kong, Jianbo Lu, Xuefeng Li, Liangzhi Xie","Beijing Engineering Research Center of Protein and Antibody, Sinocelltech Ltd., Beijing, China.",
